-0x3000 SSL_ERROR_EXPORT_ONLY_SERVER
-0x2fff SSL_ERROR_US_ONLY_SERVER
-0x2ffe SSL_ERROR_NO_CYPHER_OVERLAP
-0x2ffd SSL_ERROR_NO_CERTIFICATE
-0x2ffc SSL_ERROR_BAD_CERTIFICATE
-0x2ffb SSL_ERROR_UNUSED_5
-0x2ffa SSL_ERROR_BAD_CLIENT
-0x2ff9 SSL_ERROR_BAD_SERVER
-0x2ff8 SSL_ERROR_UNSUPPORTED_CERTIFICATE_TYPE
-0x2ff7 SSL_ERROR_UNSUPPORTED_VERSION
-0x2ff6 SSL_ERROR_UNUSED_10
-0x2ff5 SSL_ERROR_WRONG_CERTIFICATE
-0x2ff4 SSL_ERROR_BAD_CERT_DOMAIN
-0x2ff3 SSL_ERROR_POST_WARNING
-0x2ff2 SSL_ERROR_SSL2_DISABLED
-0x2ff1 SSL_ERROR_BAD_MAC_READ
-0x2ff0 SSL_ERROR_BAD_MAC_ALERT
-0x2fef SSL_ERROR_BAD_CERT_ALERT
-0x2fee SSL_ERROR_REVOKED_CERT_ALERT
-0x2fed SSL_ERROR_EXPIRED_CERT_ALERT
-0x2fec SSL_ERROR_SSL_DISABLED
-0x2feb SSL_ERROR_FORTEZZA_PQG
-0x2fea SSL_ERROR_UNKNOWN_CIPHER_SUITE
-0x2fe9 SSL_ERROR_NO_CIPHERS_SUPPORTED
-0x2fe8 SSL_ERROR_BAD_BLOCK_PADDING
-0x2fe7 SSL_ERROR_RX_RECORD_TOO_LONG
-0x2fe6 SSL_ERROR_TX_RECORD_TOO_LONG
-0x2fe5 SSL_ERROR_RX_MALFORMED_HELLO_REQUEST
-0x2fe4 SSL_ERROR_RX_MALFORMED_CLIENT_HELLO
-0x2fe3 SSL_ERROR_RX_MALFORMED_SERVER_HELLO
-0x2fe2 SSL_ERROR_RX_MALFORMED_CERTIFICATE
-0x2fe1 SSL_ERROR_RX_MALFORMED_SERVER_KEY_EXCH
-0x2fe0 SSL_ERROR_RX_MALFORMED_CERT_REQUEST
-0x2fdf SSL_ERROR_RX_MALFORMED_HELLO_DONE
-0x2fde SSL_ERROR_RX_MALFORMED_CERT_VERIFY
-0x2fdd SSL_ERROR_RX_MALFORMED_CLIENT_KEY_EXCH
-0x2fdc SSL_ERROR_RX_MALFORMED_FINISHED
-0x2fdb SSL_ERROR_RX_MALFORMED_CHANGE_CIPHER
-0x2fda SSL_ERROR_RX_MALFORMED_ALERT
-0x2fd9 SSL_ERROR_RX_MALFORMED_HANDSHAKE
-0x2fd8 SSL_ERROR_RX_MALFORMED_APPLICATION_DATA
-0x2fd7 SSL_ERROR_RX_UNEXPECTED_HELLO_REQUEST
-0x2fd6 SSL_ERROR_RX_UNEXPECTED_CLIENT_HELLO
-0x2fd5 SSL_ERROR_RX_UNEXPECTED_SERVER_HELLO
-0x2fd4 SSL_ERROR_RX_UNEXPECTED_CERTIFICATE
-0x2fd3 SSL_ERROR_RX_UNEXPECTED_SERVER_KEY_EXCH
-0x2fd2 SSL_ERROR_RX_UNEXPECTED_CERT_REQUEST
-0x2fd1 SSL_ERROR_RX_UNEXPECTED_HELLO_DONE
-0x2fd0 SSL_ERROR_RX_UNEXPECTED_CERT_VERIFY
-0x2fcf SSL_ERROR_RX_UNEXPECTED_CLIENT_KEY_EXCH
